work_id,name,aka,type,year_start,year_end,status,materials,scale,key_events,themes,description,confidence,sources
gantry,The Gantry,,fire sculpture,2003,2024,toured,steel,—,Steamboat Springs decom 2003; 'to the moon' TN 2024,metallic effigy; congregation,Recurring metallic effigy; a 2024 example is used to illustrate Burning Book congregation,medium,howhowhow.com/news.html; sparceland.com/bbb26
ganesha,Ganesha,metal Ganesha / big metal Buddha,fire sculpture/effigy,,,toured,steel,large,Okeechobee 2017,mythic deity; transformation,Large metal elephant-deity (Ganesha) effigy — rare build + detail shots from Okeechobee 2017; named by Charlie/KK in the 2023 interview,medium,Kris Krüg Flickr OMF2017; interview 2023
discombobulator,The Discombobulator,,fire-show piece,2003,2003,historic,steel,—,Austin Halloween fire show 2003,—,Austin Halloween fire show,low,howhowhow.com/news.html
time-star,24/7 A Time Star,Timing Is Everything (BM 2012) / A 24/7 Timestar Lives (BeltLine 2015),interactive sculpture,2012,2018,relocated,steel,seven-sided star ~24 ft tall,Burning Man 2012 honorarium; Atlanta Historic 4th Ward 2015-2018 (debut at BeltLine Lantern Parade),seven; sun; time; teeter,Seven-sided interactive star built by 100+ people; official BM 2012 title 'Timing Is Everything'; 24 ft; 2.5-yr Atlanta install via Art on the BeltLine + BRAF; local 'starfie' landmark,high,sparceland.com/247-time-star; journal.burningman.org 2012; ajc.com 2015
red-hot-cock,Uncle Charlie's Red Hot Cock,The Waking Bird Dog,kinetic fire teeter-totter,2018,2018,active,steel & stainless,12'x30' base; 25-30 ft tall (50 ft per KK),Burning Man 2018 (Honorarium),rooster/jackal; rock the cock; community,Jackal-headed rooster teeter-totter that burns wood; ~40 crew; 2-2.5 cords; KK was quartermaster/documentarian,high,sparceland.com/the-waking-birddog-2018-2; kriskrug.co
solar-scope,The Solar Scope,,mechanical land-art time-keeper,2023,,in progress,copper/brass/glass/stainless/carbon steel,large; on a limestone dome,Private property near Knoxville TN,time; ancient gods; observatory,Tuned mechanical sun/time device set on a 60-degree parallel; built with his cousin (a math artist),medium,interview 2023
burning-book,The Burning Book of Brian,BBB,memorial fire sculpture,2026,2026,planned (independent; NOT an official BM honorarium),steel/stainless + LPG + wood,14-15 ft; 12'x8' base,Burning Man 2026 (one-time burn Wednesday),memorial; pulsing heart; the royal we,Memorial effigy for Brian Doherty with a pulsing LPG heart; community-built; 8-10 collaborating artists; independent/community-funded (not on the 75-project 2026 honoraria list),high,sparceland.com/bbb26; sparceland.com/burning-book-tech; journal.burningman.org 2026
fire-birds,Fire Birds of the Fifth Direction,,community fire-cauldron set,2011,2011,historic,steel/wood-fired,four 12 ft cauldrons,"Burning Man 2011 (Great Circle, around the Man)",mythic birds; congregation; transformation into ONE,"Four 12-ft wood-fired metal bird-creature cauldrons with cut patterns lit by internal fire at night and shadow-casting wings by day; surrounded the Man as congregation areas, transformed into ""ONE"" for a Saturday eruption. Same winged cut-panel design recurs at Okeechobee 2017.",high,gallery.burningman.org (Charlie Smith); GPT research note 2026
big-bully,Big Bully,,interactive fire sculpture,2013,2013,historic,steel/wood-fired,large,Burning Man 2013,mythic beast; log-sacrifice; congregation,"A fire-spewing, winged, human-headed bull; participants lined up to throw logs into its mouth ""as sacrifice."" Confirms the long-mislabeled portfolio image bigbullysm.jpg.",high,history.burningman.org 2013 art installations; GPT research note 2026
infinite-infant,Infinite Infant and the Trail of Toys,,kinetic fire sculpture,2014,2014,historic,steel/wood-fired,large,Burning Man 2014,inner child; mythology-as-system; reused components,"A steel dunce-cap-wearing baby pulling metal play toys and shooting fire from its head, towing three older wheeled fire cauldrons from previous work — Charlie treating past sculptures as living components of a longer mythology.",high,gallery.burningman.org (Charlie Smith); GPT research note 2026
big-charles,Big Charles,,fire sculpture (unconfirmed),,,unconfirmed,steel,,"Burning Man (near Galaxia, 2018?)",mythic-hybrid,"CANDIDATE WORK — surfaced via 4 Burning Man gallery photos titled ""Big Charles"" (several by photographer Shane Evans), one captioned ""Big Charles and Galaxia"". Relationship to other works (or whether a nickname) unconfirmed — verify with Charlie.",low,gallery.burningman.org (Charlie Smith / Shane Evans)
encompassment,Encompassment / Directional Vessels of Fire,,fire-cauldron set (unconfirmed),,,unconfirmed,steel/fire,,Burning Man,directional; vessels of fire; congregation,"CANDIDATE WORK — surfaced via a Burning Man gallery photo ""Encompassment / Directional Vessels of Fire by Charlie..."" Details unconfirmed; likely a directional fire-cauldron grouping in the Synapses lineage — verify with Charlie.",low,gallery.burningman.org (Charlie Smith)
